Método,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
DA-PSO,50,20:03:46.334021,2024-03-11,20:03:57.293118,0:00:10.959097
Índice de similitud,Ranking
1.0,9
1.284,8
1.311,7
1.388,6
1.4889999999999999,5
1.524,4
1.887,3
2.299,2
3.082,1
1.228,6
1.246,7
1.658,5
1.682,8
1.748,9
2.123,3
2.191,2
2.303,4
2.4299999999999997,1
1.236,6
1.266,7
1.677,5
1.7109999999999999,8
1.7770000000000001,9
2.101,2
2.165,3
2.338,1
2.38,4
1.255,6
1.291,7
1.726,5
1.7730000000000001,8
1.8399999999999999,9
2.084,3
2.134,2
2.222,1
2.377,4
1.259,6
1.292,7
1.73,5
1.7890000000000001,8
1.85,9
2.114,2
2.114,3
2.261,4
2.332,1
1.27,6
1.302,7
1.752,5
1.831,8
1.8820000000000001,9
2.027,3
2.207,2
2.2720000000000002,1
2.2720000000000002,4
1.2810000000000001,6
1.303,7
1.767,5
1.88,8
1.912,9
2.02,3
2.142,2
2.254,4
2.3289999999999997,1
1.299,6
1.306,7
1.7930000000000001,5
1.837,3
1.954,8
1.96,9
2.0860000000000003,4
2.1639999999999997,2
2.383,1
1.272,7
1.286,6
1.733,5
1.903,9
1.932,8
1.943,3
2.0380000000000003,2
2.263,1
2.489,4
1.241,7
1.313,6
1.718,5
1.923,2
1.9449999999999998,9
2.02,8
2.0629999999999997,3
2.1390000000000002,1
2.319,4
1.0,7
1.254,6
1.752,9
1.804,5
1.915,8
1.9529999999999998,4
2.059,3
2.174,2
2.404,1
1.264,6
1.33,7
1.79,5
1.798,9
1.917,8
2.01,3
2.133,2
2.209,4
2.339,1
1.297,6
1.338,7
1.803,5
1.948,9
1.9689999999999999,8
2.0949999999999998,4
2.1020000000000003,2
2.109,3
2.269,1
1.339,6
1.357,7
1.845,5
1.8719999999999999,4
1.971,2
2.0060000000000002,1
2.0300000000000002,8
2.134,3
2.15,9
1.332,6
1.339,7
1.55,2
1.783,4
1.8279999999999998,5
1.951,8
2.0709999999999997,3
2.201,9
2.2110000000000003,1
1.238,2
1.349,6
1.361,7
1.498,4
1.811,1
1.95,5
1.955,8
2.159,3
2.364,9
1.0,1
1.285,4
1.288,6
1.306,7
1.766,8
1.841,5
1.994,3
2.16,9
2.669,2
1.305,6
1.33,7
1.379,1
1.542,4
1.79,8
1.917,5
2.089,3
2.2039999999999997,9
2.745,2
1.307,6
1.338,7
1.6480000000000001,4
1.7650000000000001,1
1.782,8
1.9260000000000002,5
2.129,3
2.1719999999999997,9
2.6550000000000002,2
1.319,6
1.358,7
1.76,4
1.81,8
1.884,1
1.952,5
2.178,9
2.189,3
2.573,2
1.332,6
1.376,7
1.833,8
1.8780000000000001,4
1.9609999999999999,1
1.963,5
2.174,9
2.225,3
2.456,2
1.345,6
1.383,7
1.853,8
1.962,5
1.966,4
2.005,1
2.166,9
2.239,3
2.327,2
1.354,6
1.388,7
1.866,8
1.9609999999999999,5
2.032,4
2.044,1
2.159,9
2.206,2
2.241,3
1.361,6
1.3900000000000001,7
1.8719999999999999,8
1.963,5
2.076,4
2.0869999999999997,1
2.1109999999999998,2
2.157,9
2.2439999999999998,3
1.369,6
1.3900000000000001,7
1.879,8
1.954,5
2.048,2
2.104,4
2.127,1
2.154,9
2.2439999999999998,3
1.374,6
1.395,7
1.876,8
1.947,5
2.0229999999999997,2
2.12,4
2.144,9
2.1550000000000002,1
2.242,3
1.379,6
1.396,7
1.877,8
1.94,5
2.018,2
2.126,4
2.137,9
2.176,1
2.237,3
1.3860000000000001,6
1.397,7
1.8780000000000001,8
1.932,5
2.036,2
2.124,4
2.129,9
2.19,1
2.233,3
1.392,6
1.397,7
1.88,8
1.928,5
2.064,2
2.124,4
2.124,9
2.199,1
2.226,3
1.396,6
1.3980000000000001,7
1.881,8
1.92,5
2.089,2
2.117,9
2.123,4
2.2,1
2.214,3
1.3980000000000001,6
1.4,7
1.883,8
1.92,5
2.113,2
2.1180000000000003,9
2.122,4
2.207,1
2.213,3
1.399,6
1.401,7
1.8780000000000001,8
1.915,5
2.1109999999999998,9
2.115,4
2.13,2
2.202,3
2.206,1
1.4020000000000001,6
1.404,7
1.879,8
1.915,5
2.1100000000000003,9
2.114,4
2.145,2
2.202,3
2.214,1
1.4060000000000001,6
1.408,7
1.88,8
1.916,5
2.1100000000000003,9
2.114,4
2.159,2
2.202,3
2.214,1
1.407,6
1.409,7
1.881,8
1.916,5
2.1100000000000003,9
2.113,4
2.166,2
2.202,3
2.214,1
1.408,6
1.409,7
1.877,8
1.912,5
2.1029999999999998,9
2.106,4
2.167,2
2.1950000000000003,3
2.206,1
1.411,6
1.412,7
1.877,8
1.911,5
2.1020000000000003,9
2.106,4
2.173,2
2.194,3
2.205,1
1.414,6
1.415,7
1.8780000000000001,8
1.912,5
2.1020000000000003,9
2.106,4
2.1799999999999997,2
2.1950000000000003,3
2.205,1
1.416,6
1.418,7
1.8780000000000001,8
1.911,5
2.101,9
2.105,4
2.1790000000000003,2
2.194,3
2.205,1
1.419,6
1.421,7
1.879,8
1.912,5
2.101,9
2.105,4
2.1790000000000003,2
2.194,3
2.205,1
1.422,6
1.424,7
1.879,8
1.911,5
2.101,9
2.104,4
2.1790000000000003,2
2.194,3
2.205,1
1.425,6
1.427,7
1.879,8
1.911,5
2.101,9
2.104,4
2.1790000000000003,2
2.194,3
2.205,1
1.428,6
1.43,7
1.8780000000000001,8
1.909,5
2.1,9
2.1029999999999998,4
2.178,2
2.193,3
2.2039999999999997,1
1.431,6
1.433,7
1.8780000000000001,8
1.909,5
2.099,9
2.1029999999999998,4
2.178,2
2.193,3
2.2039999999999997,1
1.435,6
1.437,7
1.8780000000000001,8
1.908,5
2.099,9
2.1029999999999998,4
2.178,2
2.193,3
2.2039999999999997,1
1.438,6
1.44,7
1.879,8
1.908,5
2.099,9
2.1029999999999998,4
2.178,2
2.193,3
2.2039999999999997,1
1.441,6
1.443,7
1.879,8
1.907,5
2.099,9
2.1020000000000003,4
2.178,2
2.193,3
2.205,1
1.445,6
1.447,7
1.8780000000000001,8
1.905,5
2.099,9
2.1020000000000003,4
2.178,2
2.193,3
2.2039999999999997,1
1.448,6
1.45,7
1.877,8
1.904,5
2.098,9
2.1020000000000003,4
2.178,2
2.192,3
2.2039999999999997,1
1.452,6
1.454,7
1.877,8
1.903,5
2.099,9
2.1020000000000003,4
2.178,2
2.193,3
2.205,1
0
9.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
7.0
7.0
7.0
6.0
6.0
6.0
6.0
2.0
1.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
w(inertia),c1,c2,No. de iteraciones
0.7,2.5,2.5,50
0
0.123
0.099
0.043
0.343
0.392
8
0.083
0.083
0.066
0.051
0.0
7
0.079
0.079
0.066
0.035
0.002
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
C1,C2,C3,C4,C5
0.138,0.612,0.566,0.813,0.785
0.428,0.195,0.072,0.513,0.973
0.997,0.201,0.72,0.353,0.75
0.64,0.838,0.169,0.836,0.581
0.882,0.266,0.168,0.298,0.234
0.439,0.144,0.104,0.671,0.008
0.815,0.659,0.203,0.315,0.014
0.179,0.067,0.887,0.804,0.207
0.688,0.114,0.444,0.326,0.38
0.104,0.436,0.396,0.566,0.549
0.306,0.143,0.05,0.356,0.681
0.703,0.146,0.504,0.245,0.525
0.452,0.591,0.119,0.585,0.407
0.621,0.19,0.117,0.206,0.164
0.31,0.103,0.073,0.469,0.006
0.572,0.463,0.142,0.221,0.01
0.126,0.048,0.621,0.564,0.145
0.482,0.08,0.311,0.228,0.266
0.057,0.224,0.211,0.344,0.381
0.157,0.076,0.027,0.216,0.473
0.21,0.046,0.186,0.117,0.365
0.135,0.176,0.045,0.284,0.283
0.184,0.057,0.043,0.098,0.114
0.156,0.052,0.039,0.287,0.004
0.286,0.232,0.076,0.136,0.007
0.035,0.013,0.23,0.276,0.101
0.14,0.021,0.115,0.111,0.185
0.012,0.031,0.047,0.159,0.263
0.022,0.014,0.006,0.099,0.327
-0.074,-0.012,-0.014,0.034,0.251
-0.048,-0.063,-0.002,0.087,0.195
-0.068,-0.02,-0.004,0.027,0.078
-0.015,-0.005,0.002,0.098,0.003
-0.03,-0.024,0.005,0.048,0.005
-0.016,-0.007,-0.017,0.087,0.069
-0.056,-0.012,-0.009,0.034,0.127
-0.021,-0.11,-0.076,0.046,0.18
-0.082,-0.035,-0.01,-0.004,0.225
-0.215,-0.041,-0.121,-0.012,0.172
-0.138,-0.181,-0.028,-0.004,0.132
-0.178,-0.054,-0.029,-0.016,0.053
-0.096,-0.032,-0.018,-0.019,0.002
-0.179,-0.145,-0.034,-0.007,0.003
-0.038,-0.016,-0.147,-0.029,0.047
-0.142,-0.026,-0.074,-0.013,0.086
-0.036,-0.164,-0.137,-0.043,0.121
-0.134,-0.06,-0.019,-0.063,0.154
