Algoritmo,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
MOORA-BA,10,22:42:11.774147,2024-03-10,22:42:18.876795,0:00:07.102648
Puntuación Global,Alternativa
-0.3382830958419764,4
-0.36767941205972976,2
-0.3686056241719612,3
-0.36967227260659635,5
-0.3810834372102042,6
-0.3843842686367432,8
-0.39006486709575044,7
-0.4026550323456228,1
-0.40708293498554415,0
-0.359691955589606,8
-0.361365568618055,2
-0.3629242661175243,7
-0.3815614120893657,6
-0.39859791821532276,5
-0.42432998705262914,4
-0.4293605069914721,3
-0.4323775988151897,0
-0.4826079126946987,1
-0.3567611663526632,2
-0.37100174926852175,8
-0.3743301924409536,7
-0.38229306517827766,6
-0.4024155930736822,5
-0.43372227244428363,0
-0.43500164351738746,4
-0.4554153269133614,3
-0.4763340071768694,1
-0.36236515824610616,2
-0.3870139665614744,8
-0.3884566856510996,7
-0.38976003861586733,6
-0.4071607496979536,5
-0.42879083719064415,4
-0.439060814803384,0
-0.45799840553875526,3
-0.493132569539573,1
-0.38164119905028937,2
-0.4012545168286563,6
-0.40236032421458223,7
-0.41066525185404884,8
-0.41408081419792814,5
-0.43969032932574625,4
-0.4467775959934661,0
-0.4645170513293142,3
-0.5076020899466049,1
-0.3923414711702413,2
-0.41367449988456767,6
-0.4149715190051457,7
-0.4243138162530269,5
-0.44547252439487756,8
-0.4469904678904427,4
-0.4542848431875207,0
-0.47262041790888176,3
-0.5222495692170387,1
-0.38920348778423375,2
-0.41813903620351356,7
-0.41987062206397474,6
-0.4404251349686805,5
-0.44404321127060487,4
-0.45555045579212,0
-0.4772076292602932,3
-0.4907294915611658,8
-0.5347228932974943,1
-0.3752046068331566,2
-0.3982721542265609,7
-0.40818082434723146,6
-0.42709717537621383,4
-0.44018230519182444,0
-0.4651062531355463,3
-0.4666861867612601,5
-0.5100750191430693,8
-0.5329654010056282,1
-0.36041260565624356,2
-0.373650966507312,7
-0.3830421078692273,6
-0.383811182810776,8
-0.40226136109401234,4
-0.4115352050251595,0
-0.43077670251033584,3
-0.4802793751527348,1
-0.5018308843850894,5
-0.16171889398393757,5
-0.343083868554376,7
-0.34717650603411965,6
-0.35119222848097426,2
-0.37743996351325804,4
-0.38246701289198237,0
-0.38616095864479527,3
-0.44752219307898666,1
-0.5291296466442375,8
0
5.0
9.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
6.0
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
w(inertia),c1,c2,No. de iteraciones
0.7,2.5,2.5,10
0
0.4
0.2
0.03
0.07
0.3
4
0.066
0.066
0.07
0.085
0.004
2
0.057
0.057
0.066
0.076
0.022
C1,C2,C3,C4,C5
