Algoritmo,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
MOORA-BA,5,20:03:59.158033,2024-03-11,20:04:00.959861,0:00:01.801828
Puntuación Global,Alternativa
-0.3382830958419764,4
-0.36767941205972976,2
-0.3686056241719612,3
-0.36967227260659635,5
-0.3810834372102042,6
-0.3843842686367432,8
-0.39006486709575044,7
-0.4026550323456228,1
-0.40708293498554415,0
-0.3691601084622382,0
-0.36967373605272535,7
-0.3785332378859591,8
-0.38117486893134667,6
-0.3826965968472905,3
-0.43291086865295625,5
-0.4442431296990369,4
-0.46175493349654856,1
-0.5195081783674542,2
-0.3711910884823865,7
-0.3727930504152634,0
-0.3830721813841104,3
-0.3891625116231219,8
-0.39740698133804786,6
-0.43925379688256233,5
-0.4526485302013541,4
-0.4648648670933656,1
-0.52365382483125,2
-0.3740839119988314,3
-0.3762508675885466,7
-0.3903875711144174,0
-0.4016066199211363,8
-0.4076011152918628,6
-0.45556452743111336,5
-0.464584093626914,1
-0.4701380140907958,4
-0.5153965878622491,2
-0.3846900916552679,7
-0.3928654490138222,3
-0.4085142690152135,0
-0.41864303136054215,8
-0.4211100075811228,6
-0.4693239885358338,5
-0.47288012202315954,1
-0.4784639414003876,4
-0.5169605379288642,2
0
5.0
1.0
8.0
4.0
8.0
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
w(inertia),c1,c2,No. de iteraciones
0.7,2.5,2.5,5
0
0.4
0.2
0.03
0.07
0.3
4
0.066
0.066
0.07
0.085
0.004
2
0.057
0.057
0.066
0.076
0.022
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
C1,C2,C3,C4,C5
0.273,0.95,0.44,0.77,0.316
0.567,0.388,0.616,0.271,0.778
0.782,0.384,0.333,0.075,0.577
0.144,0.64,0.153,0.8,0.826
0.662,0.86,0.811,0.341,0.771
0.736,0.763,0.835,0.737,0.734
0.401,0.62,0.845,0.891,0.821
0.824,0.02,0.624,0.193,0.028
0.614,0.558,0.822,0.478,0.224
0.194,0.668,0.308,0.539,0.211
0.399,0.274,0.432,0.19,0.542
0.549,0.27,0.234,0.054,0.403
