Algoritmo,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
TOPSIS-PSO,10,11:14:00.795262,2024-03-02,11:14:02.034755,0:00:01.239493
Algoritmo,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
TOPSIS-PSO,10,11:14:00.795262,2024-03-02,11:14:02.034755,0:00:01.239493
Puntuación Global,Alternativa
0.10974122074398511,3
0.1368897148785883,4
0.1381307859708272,2
0.1527323181674522,5
0.17717128389484854,6
0.19773657873650632,7
0.2163173071645487,8
0.29892467201668355,1
0.7842969203218978,0
0.22994370518109322,5
0.32747907085161604,8
0.4333273648357779,3
0.470296373351477,6
0.5368803906453117,1
0.5710416401079302,0
0.5901267303934328,2
0.6103292002682451,7
0.6642761559806268,4
0.27225435056691855,5
0.36178875390527565,8
0.49779442895298437,3
0.5442480069756944,0
0.5451335293401739,6
0.5750377548180778,7
0.6225710031108675,1
0.6972558001913546,2
0.7968913778242114,4
0.28939077047569844,5
0.3741498887610496,8
0.5109009972744626,3
0.5459091764463286,6
0.5573526186668714,0
0.5626390128417934,7
0.6332687372625545,1
0.7022131811406098,2
0.8112363894369194,4
0.30519641963889527,5
0.32062019733817604,8
0.5234338839980665,3
0.5550162500618391,6
0.5654386113365922,7
0.6095834488113118,0
0.6472603564395754,1
0.7182758775430793,2
0.8304729255615071,4
0.25390135860009827,5
0.3320374616654418,8
0.5379471262239907,3
0.552417874807133,6
0.6008293031458204,7
0.6086562546500317,0
0.6563485054050918,1
0.7199855761438292,2
0.8408097235334243,4
0.27745618704777847,5
0.34969005894012306,8
0.5072229295446685,3
0.5144459890026836,6
0.6030719584549109,7
0.6221466406991036,0
0.6743154399483251,1
0.7299374907323171,2
0.8393164137111365,4
0.3024056727070305,5
0.3130880074572482,6
0.36674588477799686,8
0.45953185552217,3
0.6297496430076513,0
0.6691880300109355,7
0.7158282277342884,2
0.7160596229110034,1
0.7343817574961696,4
0.030958193455510576,6
0.46634483662154164,4
0.5239712331391361,3
0.616136201561227,5
0.6608006737957179,8
0.6809851493860308,2
0.8424904460290512,0
0.8571836481977533,1
0.8793686088008396,7
0.21994023195623336,3
0.3125326463762719,1
0.3223225773179831,8
0.3252974711843509,0
0.3297241170473784,5
0.3412741581936928,7
0.5432260130402908,2
0.5494866898629476,4
0.750570101848515,6
0
4.0
6.0
6.0
6.0
6.0
6.0
6.0
6.0
7.0
4.0
TOPSIS,TOPSISFIN
3,0.0
3,4.0
5,4.0
5,4.0
5,4.0
5,4.0
5,4.0
5,4.0
5,4.0
6,4.0
3,4.0
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
w(inertia),c1,c2,No. de iteraciones
0.7,2.5,2.5,10
0
0.4
0.2
0.03
0.07
0.3
0
0
1
2
3
4
3
0.062
0.062
0.063
0.058
0.007
4
0.066
0.066
0.07
0.085
0.004
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
C1,C2,C3,C4,C5
0.428,0.361,0.2,0.894,0.807
0.641,0.712,0.032,0.086,0.441
0.926,0.716,0.088,0.462,0.269
0.468,0.352,0.726,0.499,0.544
0.95,0.525,0.516,0.737,0.498
0.027,0.348,0.106,0.57,0.559
0.666,0.834,0.25,0.073,0.183
0.463,0.804,0.807,0.211,0.952
0.018,0.903,0.434,0.968,0.639
0.302,0.255,0.139,0.62,0.563
0.45,0.5,0.022,0.055,0.308
0.649,0.502,0.061,0.32,0.188
0.328,0.246,0.508,0.349,0.381
0.664,0.367,0.36,0.51,0.349
0.018,0.242,0.074,0.399,0.391
0.464,0.582,0.174,0.053,0.128
0.321,0.56,0.564,0.153,0.666
0.009,0.629,0.303,0.679,0.447
0.165,0.14,0.072,0.296,0.387
0.174,0.193,0.008,0.014,0.207
0.249,0.193,0.022,0.106,0.126
0.126,0.095,0.187,0.12,0.256
0.253,0.14,0.132,0.169,0.235
0.007,0.092,0.027,0.137,0.263
0.175,0.22,0.064,0.02,0.086
0.12,0.211,0.207,0.057,0.448
0.001,0.237,0.111,0.234,0.301
0.042,0.037,0.013,0.05,0.263
-0.005,-0.006,-0.001,-0.012,0.136
-0.01,-0.007,-0.003,-0.036,0.083
-0.005,-0.003,-0.02,-0.033,0.168
-0.013,-0.007,-0.015,-0.056,0.155
-0.0,-0.005,-0.003,-0.038,0.173
-0.011,-0.013,-0.007,-0.002,0.057
0.01,0.019,0.01,0.0,0.306
-0.003,-0.016,-0.012,-0.063,0.198
-0.057,-0.047,-0.033,-0.141,0.176
-0.102,-0.113,-0.006,-0.024,0.086
-0.15,-0.115,-0.016,-0.107,0.052
-0.075,-0.056,-0.128,-0.111,0.107
-0.156,-0.085,-0.092,-0.169,0.098
-0.004,-0.057,-0.019,-0.127,0.11
-0.11,-0.138,-0.044,-0.014,0.036
-0.069,-0.118,-0.13,-0.04,0.206
-0.005,-0.151,-0.077,-0.214,0.126
-0.102,-0.085,-0.052,-0.217,0.11
-0.138,-0.153,-0.007,-0.025,0.051
-0.201,-0.155,-0.02,-0.123,0.031
-0.101,-0.076,-0.165,-0.131,0.064
-0.208,-0.114,-0.118,-0.196,0.059
-0.006,-0.076,-0.024,-0.149,0.066
-0.146,-0.183,-0.057,-0.018,0.022
-0.102,-0.177,-0.184,-0.053,0.136
-0.006,-0.223,-0.111,-0.283,0.08
-0.126,-0.105,-0.061,-0.244,0.069
-0.135,-0.15,-0.007,-0.02,0.026
-0.196,-0.151,-0.019,-0.106,0.016
-0.099,-0.074,-0.156,-0.114,0.034
-0.202,-0.111,-0.111,-0.169,0.031
-0.007,-0.086,-0.026,-0.151,0.038
-0.164,-0.206,-0.063,-0.019,0.012
-0.103,-0.179,-0.182,-0.049,0.083
-0.005,-0.202,-0.098,-0.231,0.046
-0.102,-0.085,-0.047,-0.176,0.038
-0.111,-0.123,-0.005,-0.013,0.009
-0.161,-0.124,-0.015,-0.074,0.006
-0.097,-0.072,-0.148,-0.097,0.016
-0.197,-0.108,-0.106,-0.143,0.012
-0.005,-0.065,-0.019,-0.099,0.018
-0.15,-0.188,-0.056,-0.015,0.005
-0.087,-0.151,-0.149,-0.037,0.053
-0.003,-0.157,-0.073,-0.153,0.022
-0.072,-0.061,-0.032,-0.101,0.017
-0.08,-0.088,-0.003,-0.007,-0.003
-0.14,-0.108,-0.012,-0.051,-0.001
-0.079,-0.059,-0.117,-0.064,0.003
-0.161,-0.088,-0.084,-0.094,-0.001
-0.003,-0.043,-0.012,-0.049,0.004
-0.115,-0.144,-0.041,-0.009,0.0
-0.064,-0.111,-0.105,-0.022,0.028
-0.002,-0.107,-0.047,-0.077,0.006
-0.043,-0.037,-0.018,-0.122,0.002
-0.049,-0.054,-0.002,-0.004,-0.011
-0.102,-0.078,-0.008,-0.027,-0.006
-0.041,-0.03,-0.056,-0.1,-0.006
-0.108,-0.059,-0.054,-0.098,-0.01
-0.001,-0.023,-0.006,-0.091,-0.006
-0.071,-0.089,-0.023,-0.005,-0.003
-0.04,-0.07,-0.062,-0.012,0.01
-0.0,-0.061,-0.025,-0.113,-0.005
C1,C2,C3,C4,C5
0.048,0.047,0.07,0.087,0.19
0.053,0.052,0.066,0.081,0.058
0.057,0.057,0.066,0.076,0.022
0.062,0.062,0.063,0.058,0.007
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
0.35,0.302,0.209,0.707,0.753
0.503,0.552,0.088,0.136,0.366
0.706,0.559,0.127,0.396,0.21
0.39,0.308,0.571,0.407,0.388
0.73,0.433,0.43,0.595,0.353
0.088,0.313,0.14,0.457,0.394
0.539,0.657,0.24,0.1,0.13
0.4,0.639,0.63,0.188,0.668
0.092,0.712,0.369,0.73,0.447
0.515,0.442,0.281,0.8,0.8
0.677,0.745,0.096,0.15,0.573
0.955,0.752,0.149,0.502,0.336
0.516,0.403,0.758,0.527,0.644
0.983,0.573,0.562,0.764,0.588
0.095,0.405,0.167,0.594,0.657
0.714,0.877,0.304,0.12,0.216
0.52,0.85,0.837,0.245,0.8
0.093,0.949,0.48,0.964,0.748
0.557,0.479,0.294,0.85,0.8
0.672,0.739,0.095,0.138,0.709
0.945,0.745,0.146,0.466,0.419
0.511,0.4,0.738,0.494,0.812
0.97,0.566,0.547,0.708,0.743
0.095,0.4,0.164,0.556,0.83
0.703,0.864,0.297,0.118,0.273
